ward,pop00,pop10
1,59498,55522
2,53831,69356
3,53795,40512
4,53932,49195
5,55474,46246
6,57893,49878
7,55962,46529
8,56500,47677
9,55039,43530
10,56473,51899
11,58107,55911
12,58338,56024
13,57408,64065
14,58067,59913
15,56170,47674
16,55772,45920
17,56139,45902
18,57158,55593
19,55392,52647
20,57174,49263
21,57892,50845
22,59119,50941
23,58068,58163
24,57946,49587
25,58350,55613
26,59396,50599
27,54419,51261
28,57783,48761
29,58158,51206
30,59579,54516
31,59517,57914
32,59456,63515
33,59483,52793
34,57932,48245
35,59298,51005
36,59491,60473
37,58835,51213
38,59444,58810
39,59327,55809
40,59536,53439
41,59461,60020
42,59515,79216
43,59522,56746
44,59436,58097
45,59498,58117
46,59547,53977
47,59454,56565
48,59454,54186
49,59444,52252
50,59534,58458